Tmax,Tmin,Tav,VPD,Rain,Solar rad,Rain Days,Frost Days,Ca,D13Catm,d18O,Year,Month
-2.7,-12.2,-8,1.62,285.43,3.62,17,36,282.47,-8.2,-15.6,1950,1
3.5,-7.1,-2.1,2.64,80.92,3.81,13,25,282.62,-8.2,-15.9,1950,2
4.5,-5.9,-1.3,2.78,126.54,3.78,14,23,282.76,-8.2,-16.7,1950,3
8.9,-5.4,2,4.53,33.94,4.37,9,22,282.91,-8.2,-13.9,1950,4
14.9,-3.2,6.2,7.5,19.43,4.88,7,18,283.05,-8.2,-12,1950,5
18.3,2.5,10.3,8.5,79.84,4.76,13,6,283.19,-8,-11,1950,6
24.9,3.7,15.5,14.58,0,5.55,0,4,283.34,-7.7,-10.5,1950,7
25.4,4,16.3,15.07,10.72,5.64,5,3,283.48,-7.6,-11.2,1950,8
20.7,1.1,12.1,11.03,17.18,5.26,6,9,283.63,-7.8,-10.6,1950,9
12,1,6.4,4.62,224.17,4.04,16,9,283.77,-8,-12.6,1950,10
7.1,-2.2,2.2,3.03,145.24,3.65,14,16,283.92,-8.1,-14.8,1950,11
5.6,-1.5,1.6,2.24,156.6,3.11,14,14,284.06,-8.1,-15.7,1950,12
0.5,-7.4,-3.8,1.75,197.56,3.26,15,26,284.2,-8.2,-15.6,1951,1
3.7,-6.5,-1.2,2.6,110.46,3.75,13,24,284.35,-8.2,-15.9,1951,2
5.8,-8,-0.8,3.64,95.93,4.27,13,27,284.49,-8.2,-16.7,1951,3
13.2,-5.3,5.1,6.84,22.08,4.91,7,22,284.64,-8.2,-13.9,1951,4
14.9,-0.8,7.3,6.92,43.87,4.65,10,13,284.78,-8.2,-12,1951,5
21.1,0.3,11.7,11.63,3.65,5.33,3,11,284.93,-8,-11,1951,6
25.2,2.3,15.5,15.4,6.31,5.69,5,7,285.07,-7.7,-10.5,1951,7
23.8,1.1,14.8,14.17,13.8,5.67,6,9,285.21,-7.6,-11.2,1951,8
21.6,-0.2,12.3,12.25,11.69,5.44,6,12,285.36,-7.8,-10.6,1951,9
11.3,-0.1,5.5,4.53,125.19,4.07,14,11,285.5,-8,-12.6,1951,10
5.8,-4.3,1,2.96,131.91,3.77,14,20,285.65,-8.1,-14.8,1951,11
0.8,-7.2,-3.7,1.8,230.39,3.28,16,26,285.79,-8.1,-15.7,1951,12
-0.1,-8.6,-4.3,1.78,135.9,3.4,14,28,285.94,-8.2,-15.6,1952,1
3.6,-7.2,-1.8,2.69,124.14,3.84,14,26,286.08,-8.2,-15.9,1952,2
3.8,-6.7,-1.3,2.67,94.14,3.8,13,25,286.22,-8.2,-16.7,1952,3
13,-4.2,5.2,6.5,20.1,4.77,7,20,286.37,-8.2,-13.9,1952,4
16.2,-0.6,7.8,7.78,31.79,4.78,8,12,286.51,-8.2,-12,1952,5
17.3,2.2,9.7,7.8,64.2,4.66,12,7,286.66,-8,-11,1952,6
26,3.3,16.2,16.04,0,5.71,0,5,286.8,-7.7,-10.5,1952,7
24.4,4,15.4,13.9,12.55,5.49,6,3,286.95,-7.6,-11.2,1952,8
22.7,1.9,13.5,12.75,19.16,5.41,7,7,287.09,-7.8,-10.6,1952,9
19.2,0.1,9.8,9.97,0.59,5.08,1,11,287.24,-8,-12.6,1952,10
6,-6.8,-0.8,3.51,27.55,4.13,8,25,287.38,-8.1,-14.8,1952,11
1.3,-5.1,-2.7,1.57,189.53,2.82,15,21,287.52,-8.1,-15.7,1952,12
5.2,-2.6,1.6,2.35,281.36,3.32,17,16,287.67,-8.2,-15.6,1953,1
5.5,-5.7,-0.1,3.12,147.51,3.92,14,23,287.81,-8.2,-15.9,1953,2
6,-5.6,-0.4,3.3,80.59,3.97,13,22,287.96,-8.2,-16.7,1953,3
9.1,-4.4,2.6,4.42,41.91,4.28,10,20,288.1,-8.2,-13.9,1953,4
11.6,-1.9,4.9,5.17,78.09,4.33,13,15,288.25,-8.2,-12,1953,5
15,1.5,7.7,6.34,49.28,4.39,11,8,288.39,-8,-11,1953,6
25,2.7,15.2,15.04,0,5.6,0,6,288.53,-7.7,-10.5,1953,7
21.6,4.7,14,10.69,52.88,5.1,12,2,288.68,-7.6,-11.2,1953,8
22.5,2,13.4,12.52,5.82,5.38,5,7,288.82,-7.8,-10.6,1953,9
14.3,-0.6,7,6.47,45.89,4.56,11,12,288.97,-8,-12.6,1953,10
7.2,-1.4,3.1,2.87,191.41,3.54,15,14,289.11,-8.1,-14.8,1953,11
4,-4.1,-0.3,2.24,164.46,3.35,14,19,289.26,-8.1,-15.7,1953,12
1.3,-6.4,-2.7,1.81,258.87,3.22,16,24,289.4,-8.2,-15.6,1954,1
6.8,-5.2,1,3.55,62.55,4.05,12,22,289.54,-8.2,-15.9,1954,2
5.1,-8,-1.5,3.37,63.78,4.17,12,27,289.69,-8.2,-16.7,1954,3
11.2,-4.6,3.9,5.55,48.85,4.59,11,20,289.83,-8.2,-13.9,1954,4
17.4,-1.9,8.2,9.02,24.18,5.05,7,15,289.98,-8.2,-12,1954,5
16.2,1.2,8.7,7.28,52.65,4.62,12,9,290.12,-8,-11,1954,6
23.6,3.2,14.6,13.29,2.58,5.44,2,5,290.27,-7.7,-10.5,1954,7
19.7,3.4,12.3,9.39,37.62,4.95,9,4,290.41,-7.6,-11.2,1954,8
18.1,2.1,10.3,8.46,23.92,4.8,7,7,290.55,-7.8,-10.6,1954,9
13.4,-2.4,6.2,6.35,28.64,4.64,8,16,290.7,-8,-12.6,1954,10
9.2,-1.5,3.9,3.81,44.87,3.92,10,14,290.84,-8.1,-14.8,1954,11
2.5,-6.9,-2.3,2.27,106.42,3.6,13,25,290.99,-8.1,-15.7,1954,12
1.2,-6.6,-3.5,1.82,84.86,3.24,13,24,291.13,-8.2,-15.6,1955,1
2.9,-8.2,-3.1,2.62,54.41,3.88,12,28,291.28,-8.2,-15.9,1955,2
3.7,-8,-2.1,2.86,95.09,3.97,13,27,291.42,-8.2,-16.7,1955,3
5.1,-5.7,-0.2,2.96,89.82,3.86,13,23,291.57,-8.2,-13.9,1955,4
13.6,-2.2,5.6,6.42,16.09,4.61,6,16,291.71,-8.2,-12,1955,5
20,1.8,11,10.18,15.97,5.04,6,8,291.85,-8,-11,1955,6
21.2,4.6,13,10.34,8.96,4.98,5,2,292,-7.7,-10.5,1955,7
25.3,2.2,14.7,15.55,0,5.6,0,7,292.14,-7.6,-11.2,1955,8
19.8,0.6,10.9,10.35,41.58,5.15,10,10,292.29,-7.8,-10.6,1955,9
14.3,1.1,7.1,6,91.2,4.34,13,9,292.43,-8,-12.6,1955,10
3.9,-4.8,-0.7,2.35,178.24,3.47,15,21,292.58,-8.1,-14.8,1955,11
1.3,-4.8,-2.3,1.51,311.62,2.72,17,21,292.72,-8.1,-15.7,1955,12
1.5,-4.9,-2.4,1.59,251.62,2.83,16,21,292.86,-8.2,-15.6,1956,1
1,-9.5,-4,2.22,132.12,3.78,14,30,293.01,-8.2,-15.9,1956,2
6,-5.9,-0.2,3.35,79.66,4.02,13,23,293.15,-8.2,-16.7,1956,3
11.8,-3.2,4.1,5.58,31.76,4.48,8,18,293.3,-8.2,-13.9,1956,4
16.3,1.6,8.5,7.23,83.63,4.56,13,8,293.44,-8.2,-12,1956,5
18.3,2.4,9.8,8.53,37.72,4.74,9,6,293.59,-8,-11,1956,6
25.4,5.1,16,14.67,20.94,5.5,7,1,293.73,-7.7,-10.5,1956,7
22.9,4,14.2,12.27,11.54,5.28,6,3,293.87,-7.6,-11.2,1956,8
20.9,1.2,11.9,11.18,12.69,5.24,6,9,294.02,-7.8,-10.6,1956,9
12,-0.5,5.7,5.04,145.82,4.22,14,12,294.16,-8,-12.6,1956,10
6.6,-3.8,0.5,3.18,37.18,3.79,9,19,294.31,-8.1,-14.8,1956,11
5.2,-5.1,-0.3,2.89,158.9,3.77,14,21,294.45,-8.1,-15.7,1956,12
-3,-12.1,-8.4,1.54,94.61,3.55,13,35,294.6,-8.2,-15.6,1957,1
4.2,-5.4,-1.1,2.57,137.85,3.64,14,22,294.74,-8.2,-15.9,1957,2
5.4,-3.5,0.8,2.63,164.08,3.54,14,18,294.88,-8.2,-16.7,1957,3
10.3,-2.4,3.7,4.58,42.38,4.19,10,16,295.03,-8.2,-13.9,1957,4
16.2,2.9,8.6,6.74,72.6,4.39,12,5,295.17,-8.2,-12,1957,5
21.1,3.8,12.1,10.54,12.07,4.98,6,4,295.32,-8,-11,1957,6
22.9,3.8,14,12.34,6.65,5.29,5,4,295.46,-7.7,-10.5,1957,7
21.8,3.2,12.7,11.42,7.23,5.15,5,5,295.61,-7.6,-11.2,1957,8
21.4,2.2,12.8,11.36,50.55,5.24,12,7,295.75,-7.8,-10.6,1957,9
10.1,0.9,5.3,3.62,60.28,3.71,12,9,295.9,-8,-12.6,1957,10
5.3,-4.9,-0.2,2.89,86.78,3.76,13,21,296.04,-8.1,-14.8,1957,11
4.6,-4.1,0.1,2.46,254.07,3.49,16,19,296.18,-8.1,-15.7,1957,12
3,-4.5,-0.9,1.98,185.12,3.19,15,20,296.33,-8.2,-15.6,1958,1
6.2,-2.1,2.2,2.63,181.44,3.45,15,15,296.47,-8.2,-15.9,1958,2
4.7,-6,-0.7,2.87,50.79,3.84,12,23,296.62,-8.2,-16.7,1958,3
8.7,-3.4,2.7,4.02,61.99,4.09,12,18,296.76,-8.2,-13.9,1958,4
20.2,1.7,10.7,10.39,40.94,5.04,10,8,296.91,-8.2,-12,1958,5
19.5,5.5,12.2,8.45,86.15,4.65,13,0,297.05,-8,-11,1958,6
25.8,5.3,17,15.07,11.66,5.62,6,1,297.19,-7.7,-10.5,1958,7
26.8,4.6,17.5,16.59,13.55,5.78,6,2,297.34,-7.6,-11.2,1958,8
19,1.3,11.3,9.45,21.64,5.05,7,9,297.48,-7.8,-10.6,1958,9
16.7,-1.5,8.4,8.38,32.77,4.96,9,14,297.63,-8,-12.6,1958,10
6.5,-2.5,1.9,2.84,144.88,3.58,14,16,297.77,-8.1,-14.8,1958,11
6.4,-2.4,1.9,2.78,91.08,3.54,13,16,297.92,-8.1,-15.7,1958,12
3.4,-6,-0.4,2.41,148.25,3.63,14,23,298.06,-8.2,-15.6,1959,1
2.3,-6.9,-1.9,2.21,90.9,3.57,13,25,298.2,-8.2,-15.9,1959,2
7,-6.4,1.2,3.86,66.63,4.25,12,24,298.35,-8.2,-16.7,1959,3
12.2,-4.4,4.3,6.07,19.8,4.68,7,20,298.49,-8.2,-13.9,1959,4
13.1,-2.5,5.7,6.19,42.44,4.6,10,16,298.64,-8.2,-12,1959,5
20.2,1.9,11.7,10.32,19.64,5.1,7,7,298.78,-8,-11,1959,6
26.4,1.8,16.4,17.03,5.52,5.84,5,8,298.93,-7.7,-10.5,1959,7
23.3,0.9,14.2,13.69,22.25,5.6,7,9,299.07,-7.6,-11.2,1959,8
16.8,0.9,10.1,7.81,63.68,4.83,12,9,299.21,-7.8,-10.6,1959,9
14.7,0.4,7.5,6.46,62.78,4.49,12,10,299.36,-8,-12.6,1959,10
8.9,-6.1,1.8,4.66,38.96,4.45,10,23,299.5,-8.1,-14.8,1959,11
3.9,-6.7,-1.6,2.71,46.6,3.81,11,25,299.65,-8.1,-15.7,1959,12
0,-8.2,-4.4,1.74,104.86,3.33,13,28,299.79,-8.2,-15.6,1960,1
2.9,-6.8,-2.3,2.38,145.63,3.65,14,25,299.94,-8.2,-15.9,1960,2
7.4,-4.6,1.2,3.68,169.18,4.05,14,20,300.08,-8.2,-16.7,1960,3
9.9,-2.7,3.5,4.45,70.79,4.17,12,17,300.23,-8.2,-13.9,1960,4
13.2,-1.1,5.8,5.9,78.55,4.44,13,13,300.37,-8.2,-12,1960,5
22.6,1.4,12.1,12.8,2.81,5.33,3,8,300.51,-8,-11,1960,6
27.6,3.3,17.5,18.1,12.27,5.88,6,5,300.66,-7.7,-10.5,1960,7
22.9,2.9,13.9,12.64,20.79,5.36,7,5,300.8,-7.6,-11.2,1960,8
21.7,1.1,12.3,11.99,9.44,5.33,5,9,300.95,-7.8,-10.6,1960,9
15.1,-1.4,7.4,7.21,49.07,4.75,11,14,301.09,-8,-12.6,1960,10
4.8,-4.3,0.4,2.57,217.49,3.58,16,20,301.24,-8.1,-14.8,1960,11
3.1,-6.3,-1.7,2.36,76.52,3.6,13,24,301.38,-8.1,-15.7,1960,12
4.6,-5.6,-0.1,2.76,54.75,3.77,12,22,301.52,-8.2,-15.6,1961,1
5.3,-3.8,1.1,2.66,202.81,3.59,15,19,301.67,-8.2,-15.9,1961,2
5.5,-4.8,0.6,2.94,145.42,3.8,14,21,301.81,-8.2,-16.7,1961,3
10.5,-5,3.7,5.25,37.25,4.55,9,21,301.96,-8.2,-13.9,1961,4
14.2,-1.2,6.6,6.56,50.62,4.6,12,14,302.1,-8.2,-12,1961,5
24.1,3.9,14.1,13.6,24.15,5.35,7,3,302.25,-8,-11,1961,6
26.4,2.9,16.3,16.67,3.32,5.75,3,5,302.39,-7.7,-10.5,1961,7
27,4.2,17.6,17,20.02,5.82,7,3,302.53,-7.6,-11.2,1961,8
17.8,-1.5,9.4,9.23,23.49,5.11,7,14,302.68,-7.8,-10.6,1961,9
13.6,-2.1,6.1,6.4,93.52,4.62,13,15,302.82,-8,-12.6,1961,10
5.2,-6.5,-0.4,3.15,156.61,3.99,14,24,302.97,-8.1,-14.8,1961,11
2.1,-5.9,-2,1.96,154.76,3.3,14,23,303.11,-8.1,-15.7,1961,12
2.2,-9.2,-3.4,2.55,60.94,3.92,12,30,303.26,-8.2,-15.6,1962,1
3.6,-6.7,-1.2,2.6,71.15,3.77,12,25,303.4,-8.2,-15.9,1962,2
4.5,-6,-0.7,2.8,114.01,3.81,13,23,303.54,-8.2,-16.7,1962,3
13.4,-3.9,5.3,6.68,51.02,4.78,12,19,303.69,-8.2,-13.9,1962,4
12,-1.2,5.2,5.22,50.75,4.29,12,14,303.83,-8.2,-12,1962,5
20.3,0.5,10.6,10.83,8,5.17,5,10,303.98,-8,-11,1962,6
24.5,1.3,14.5,14.9,3.14,5.63,3,9,304.12,-7.7,-10.5,1962,7
22,3.7,13.8,11.45,29.97,5.22,8,4,304.27,-7.6,-11.2,1962,8
21.8,0.4,12.6,12.29,34.05,5.42,9,10,304.41,-7.8,-10.6,1962,9
14,1.1,6.9,5.8,122.32,4.29,14,9,304.56,-8,-12.6,1962,10
7.2,-1.4,2.4,2.87,117.74,3.5,13,14,304.7,-8.1,-14.8,1962,11
5.2,-3.7,0.3,2.6,82.93,3.53,13,19,304.84,-8.1,-15.7,1962,12
2.8,-11.8,-4.1,3.09,54.19,4.36,12,35,304.99,-8.2,-15.6,1963,1
8.1,-2.7,2.6,3.58,156.27,3.91,14,17,305.13,-8.2,-15.9,1963,2
6.7,-6.2,0.4,3.69,71.69,4.16,12,24,305.28,-8.2,-16.7,1963,3
6.5,-3.9,1.4,3.16,92.25,3.83,13,19,305.42,-8.2,-13.9,1963,4
16,-0.3,8,7.56,48.48,4.74,11,12,305.57,-8.2,-12,1963,5
18.2,2.2,10.1,8.51,28.91,4.78,8,7,305.71,-8,-11,1963,6
21.4,2.9,13.1,11.13,12.54,5.21,6,5,305.85,-7.7,-10.5,1963,7
23.6,3.5,14.8,13.19,8.3,5.44,5,4,306,-7.6,-11.2,1963,8
22.7,4.5,14.3,11.88,34.95,5.22,9,2,306.14,-7.8,-10.6,1963,9
14.1,0.5,7.2,6.04,37.98,4.4,9,10,306.29,-8,-12.6,1963,10
5.7,-2.5,1.6,2.52,153.07,3.41,14,16,306.43,-8.1,-14.8,1963,11
4.7,-5.6,-0.1,2.8,76.82,3.78,13,22,306.58,-8.1,-15.7,1963,12
1.5,-5.9,-2.2,1.78,227.95,3.14,16,23,306.72,-8.2,-15.6,1964,1
5.5,-8.9,-1.1,3.66,30.2,4.34,8,29,306.86,-8.2,-15.9,1964,2
4.5,-7.5,-1,3.06,93.05,4.03,13,26,307.01,-8.2,-16.7,1964,3
9.3,-6.5,2.1,4.93,28.4,4.55,8,24,307.15,-8.2,-13.9,1964,4
14.3,-4,5.8,7.28,11.99,4.89,6,19,307.3,-8.2,-12,1964,5
18.3,2.2,10.2,8.59,38.04,4.79,9,7,307.44,-8,-11,1964,6
24.3,3.7,15.3,13.9,13.72,5.5,6,4,307.59,-7.7,-10.5,1964,7
22.7,2.8,13.8,12.47,8.44,5.36,5,6,307.73,-7.6,-11.2,1964,8
19.5,-0.7,10.4,10.44,13.35,5.22,6,13,307.87,-7.8,-10.6,1964,9
16,-1.8,7.9,7.94,17.87,4.91,6,15,308.02,-8,-12.6,1964,10
3.8,-3.6,-0.5,2.06,156.69,3.16,14,18,308.16,-8.1,-14.8,1964,11
0.6,-6.1,-3,1.55,519.96,2.92,22,23,308.31,-8.1,-15.7,1964,12
2.3,-5.7,-1.1,1.99,193.81,3.32,15,23,308.45,-8.2,-15.6,1965,1
5.8,-6.6,0.1,3.4,43.54,4.1,10,24,308.6,-8.2,-15.9,1965,2
7.8,-8.9,0.8,4.62,12.18,4.64,6,29,308.74,-8.2,-16.7,1965,3
10.8,-2.5,4.1,4.87,63.94,4.28,12,16,308.89,-8.2,-13.9,1965,4
14.7,-2.9,6.2,7.3,24.04,4.82,7,17,309.03,-8.2,-12,1965,5
19.8,2.1,10.7,9.9,29.78,4.96,8,7,309.17,-8,-11,1965,6
24.5,5,15.6,13.65,20.2,5.42,7,1,309.32,-7.7,-10.5,1965,7
22.5,6,14.7,11.1,76.47,5.08,13,0,309.46,-7.6,-11.2,1965,8
17.8,-1.9,9.3,9.33,1.61,5.15,2,15,309.61,-7.8,-10.6,1965,9
17.8,-1.2,9.3,9.16,34.55,5.08,9,14,309.75,-8,-12.6,1965,10
6.6,-2,2.4,2.77,123.01,3.52,14,15,309.9,-8.1,-14.8,1965,11
2.2,-6.9,-2.5,2.18,95.37,3.54,13,25,310.04,-8.1,-15.7,1965,12
2.1,-6.1,-1.9,2,224.39,3.35,16,23,310.18,-8.2,-15.6,1966,1
3.1,-7.5,-1.9,2.57,41.05,3.81,10,26,310.33,-8.2,-15.9,1966,2
7.1,-6.1,0.6,3.85,97.68,4.21,13,23,310.47,-8.2,-16.7,1966,3
12.9,-5.8,4.7,6.76,12.58,4.91,6,23,310.62,-8.2,-13.9,1966,4
18.3,-3,8.6,9.99,10.62,5.24,5,17,310.76,-8.2,-12,1966,5
18.6,1,10.1,9.21,19.63,4.96,7,9,310.91,-8,-11,1966,6
22.4,3.3,13.8,11.99,28.33,5.29,8,5,311.05,-7.7,-10.5,1966,7
24.6,2,14.9,14.8,9.92,5.62,5,7,311.19,-7.6,-11.2,1966,8
20.9,3.6,12.4,10.42,22.28,5.02,7,4,311.34,-7.8,-10.6,1966,9
15.3,-1.8,7.4,7.45,54.86,4.82,12,15,311.48,-8,-12.6,1966,10
6.5,-1.8,2.2,2.68,160.36,3.44,14,15,311.63,-8.1,-14.8,1966,11
2.9,-3.6,-0.7,1.76,135.03,2.88,14,18,311.77,-8.1,-15.7,1966,12
2.8,-3.9,-0.7,1.79,214.33,2.95,15,19,311.92,-8.2,-15.6,1967,1
6.1,-5.9,0.3,3.39,37.42,4.04,9,23,312.06,-8.2,-15.9,1967,2
4.5,-6.3,-0.8,2.85,86.94,3.85,13,24,312.2,-8.2,-16.7,1967,3
5.5,-4.9,0,2.96,59.93,3.79,12,21,312.35,-8.2,-13.9,1967,4
16.6,-1.9,7.4,8.41,18.97,4.94,7,15,312.49,-8.2,-12,1967,5
20.8,3.1,11.9,10.49,26.07,5.02,8,5,312.64,-8,-11,1967,6
26.6,2.8,16.5,16.96,0,5.78,0,6,312.78,-7.7,-10.5,1967,7
28.3,1.9,18.1,19.51,1.5,6.03,1,7,312.93,-7.6,-11.2,1967,8
23.9,2,14.6,14.01,16.69,5.57,6,7,313.07,-7.8,-10.6,1967,9
14.1,-1,7.1,6.45,101.72,4.59,13,13,313.22,-8,-12.6,1967,10
6.6,-2.9,1.9,2.98,51.21,3.68,12,17,313.36,-8.1,-14.8,1967,11
1,-6.8,-3,1.79,97.73,3.24,13,25,313.5,-8.1,-15.7,1967,12
2.4,-6.9,-2.1,2.24,96.36,3.58,13,25,313.65,-8.2,-15.6,1968,1
4.9,-3.4,0.6,2.42,125.41,3.41,14,18,313.79,-8.2,-15.9,1968,2
8.3,-4.9,2,4.15,41.8,4.23,10,21,313.94,-8.2,-16.7,1968,3
9.7,-6.7,2.3,5.16,18.14,4.62,7,25,314.08,-8.2,-13.9,1968,4
14.9,-2.2,7,7.27,44.36,4.81,10,16,314.23,-8.2,-12,1968,5
20.5,1.1,11.6,10.84,14.92,5.2,6,9,314.37,-8,-11,1968,6
26.2,2.4,16.4,16.59,3.58,5.8,3,6,314.51,-7.7,-10.5,1968,7
20.8,4.5,13.8,10,70.32,5.04,12,2,314.66,-7.6,-11.2,1968,8
20.4,1.9,12,10.51,24.24,5.14,7,7,314.8,-7.8,-10.6,1968,9
13.3,-1.9,6.2,6.17,63.22,4.57,12,15,314.95,-8,-12.6,1968,10
5.1,-1.9,0.9,2.15,168.15,3.07,14,15,315.09,-8.1,-14.8,1968,11
0.4,-7.2,-3.6,1.69,186.81,3.19,15,26,315.24,-8.1,-15.7,1968,12
-1.6,-10.2,-5.4,1.62,197.11,3.42,15,32,315.38,-8.2,-15.6,1969,1
1,-7.2,-3.5,1.86,77.04,3.34,13,26,315.52,-8.2,-15.9,1969,2
7.1,-7.4,0.3,4.07,51.13,4.37,12,26,315.67,-8.2,-16.7,1969,3
9.9,-4.7,2.9,4.88,38.8,4.42,9,21,315.81,-8.2,-13.9,1969,4
17.9,-1,9.2,9.18,40.77,5.05,10,13,315.96,-8.2,-12,1969,5
20.2,3.8,12.3,9.7,88.45,4.93,13,4,316.1,-8,-11,1969,6
23.7,2.5,14.6,13.63,10.75,5.52,5,6,316.25,-7.7,-10.5,1969,7
24,1.2,14.4,14.36,0,5.61,0,9,316.39,-7.6,-11.2,1969,8
20.1,1.5,11.9,10.36,25.74,5.16,8,8,316.53,-7.8,-10.6,1969,9
10.8,-2.4,4.4,4.85,60.69,4.28,12,16,316.68,-8,-12.6,1969,10
8.5,-3.8,2.5,4.01,37.96,4.12,9,19,316.82,-8.1,-14.8,1969,11
3.3,-4.4,-1,2.06,199.49,3.24,15,20,316.97,-8.1,-15.7,1969,12
1.8,-5.4,-1.7,1.78,285.5,3.1,17,22,317.11,-8.2,-15.6,1970,1
5.6,-5,0.2,3.02,55.5,3.83,12,21,317.26,-8.2,-15.9,1970,2
6.3,-6.2,0.4,3.53,77.1,4.12,13,24,317.4,-8.2,-16.7,1970,3
6.7,-7.4,0.6,3.9,49.71,4.33,11,26,317.55,-8.2,-13.9,1970,4
16.6,-2.9,7.6,8.64,16.44,5.06,6,17,317.69,-8.2,-12,1970,5
22.4,2.6,13.3,12.22,30.57,5.32,8,6,317.83,-8,-11,1970,6
25.8,3.3,16.5,15.8,6.49,5.73,5,5,317.98,-7.7,-10.5,1970,7
26.4,1.1,16,17.24,0,5.84,0,9,318.12,-7.6,-11.2,1970,8
17.6,-2.2,9.3,9.24,20.06,5.17,7,16,318.27,-7.8,-10.6,1970,9
13.2,-4.2,5.6,6.62,82.87,4.81,13,20,318.41,-8,-12.6,1970,10
4.9,-2.9,0.6,2.31,212.1,3.29,15,17,318.56,-8.1,-14.8,1970,11
0.9,-6.8,-3.4,1.76,157.33,3.21,14,25,318.7,-8.1,-15.7,1970,12
2.6,-6.2,-1.8,2.18,245.53,3.48,16,24,318.84,-8.2,-15.6,1971,1
4.7,-7,-1.1,3.05,99.66,3.98,13,25,318.99,-8.2,-15.9,1971,2
3.6,-7.7,-1.6,2.77,143.1,3.92,14,27,319.13,-8.2,-16.7,1971,3
9.3,-5.6,2.3,4.76,34.43,4.44,9,22,319.28,-8.2,-13.9,1971,4
15.6,-1.5,7.6,7.58,43.22,4.82,10,14,319.42,-8.2,-12,1971,5
17.4,1.9,9.3,7.97,30.44,4.68,8,7,319.57,-8,-11,1971,6
25.6,2.9,16.7,15.69,5.03,5.79,5,5,319.71,-7.7,-10.5,1971,7
27.2,4,17.5,17.33,13.01,5.83,6,3,319.85,-7.6,-11.2,1971,8
17.5,-1.5,9.6,8.99,52.11,5.11,12,14,320,-7.8,-10.6,1971,9
11.9,-2.4,4.8,5.45,44.99,4.42,10,16,320.14,-8,-12.6,1971,10
5.6,-4.4,0.7,2.9,163.17,3.75,14,20,320.29,-8.1,-14.8,1971,11
0.3,-7.6,-3.7,1.73,181.87,3.26,15,26,320.43,-8.1,-15.7,1971,12
0.7,-8.2,-3.5,1.94,222.36,3.49,16,28,320.58,-8.2,-15.6,1972,1
4,-5.5,-0.6,2.52,124.48,3.64,14,22,320.72,-8.2,-15.9,1972,2
8.3,-3.3,2.4,3.81,156.43,4.02,14,18,320.86,-8.2,-16.7,1972,3
